sales_date;order_id;product_name;category;price;quantity;total;discount;shipping_fee;total_sales;customer_name;customer_address;channel;rating;status;
01/01/2025;P00001;Minyak Goreng;Makanan;18000;1;;0.15;20000;;Shinta;Malang;Toko_Oren_Online;5;Returned;
01/01/2025;P00002;Kopi;Makanan;25000;3;;0.15;22000;;Eli;Makassar;Offline;4;Failed;
01/01/2025;P00003;  Deterjen ;PEMBERSIH;10000;3;;0.15;25000;;Eka;Medan;Offline;1;Pending;
01/01/2025;P00004;  Minyak Goreng ;makanan;18000;1;;0.15;20000;;Zenia;Surabaya;Online - Toko Oren;3;Pending;
01/01/2025;P00005;  Pasta Gigi ;Perawatan;15000;3;;0.15;12000;;Dicky;Bogor;Online - Toko Oren;1;Returned;
01/01/2025;P00006;Minyak Goreng;makanan;18000;3;;0.15;22000;;Santi;Makassar;Online - Toko Oren;1;Pending;
01/01/2025;P00007;  Sabun Mandi ;PEMBERSIH;7000;3;;0.15;25000;;Farhan;Medan;Offline;5;Failed;
01/01/2025;P00008;Pembersih Lantai;pembersih;8000;1;;0.15;22000;;Dewa;Makassar;Online - Toko Oren;1;Sukses;
01/01/2025;P00009;Pasta Gigi;PERAWATAN;15000;3;;0.15;30000;;Zara;Samarinda;Offline;5;Pending;
01/01/2025;P00010;Shampo;PERAWATAN;20000;2;;0.15;18000;;Putra;Yogyakarta;Online - Toko Hijau;5;Failed;
01/01/2025;P00011;  Minyak Goreng ;makanan;18000;3;;0.15;15000;;Nanda;Semarang;Offline;3;Returned;
01/01/2025;P00012;Deterjen;Pembersih;10000;2;;0.15;25000;;Iwan;Medan;Online - Toko Oren;2;Sukses;
01/01/2025;P00013;Pasta Gigi;PERAWATAN;15000;1;;0.15;18000;;Mutiara;Yogyakarta;Toko_Oren_Online;5;Pending;
01/01/2025;P00014;Pembersih Wajah;PERAWATAN;12000;2;;0.15;22000;;Rian;Makassar;Offline;3;Returned;
01/01/2025;P00015;Kopi;Makanan;25000;-99;;0.15;25000;;Mutiara;Medan;Offline;1;Sukses;
01/01/2025;P00016;Minyak Goreng;MAKANAN;18000;3;;0.15;25000;;Yusra;Bali;Offline;3;Sukses;
01/01/2025;P00017;Deterjen;pembersih;10000;3;;0.15;15000;;Herry;Semarang;Online - Toko Oren;4;Pending;
01/01/2025;P00017;Deterjen;pembersih;10000;3;;0.15;15000;;Herry;Semarang;Online - Toko Oren;4;Pending;
